code,state,h1b,unemployment,gdp,greencard,year
NM,New Mexico,773,7.48,357046,162,2011
NY,New York,39799,8.28,4918971,6201,2011
NC,North Carolina,7710,10.15,1711894,1744,2011
ND,North Dakota,398,3.46,168658,83,2011
OH,Ohio,8552,8.8,2114269,1251,2011
OK,Oklahoma,1448,5.83,655472,169,2011
OR,Oregon,2806,9.43,799716,685,2011
PA,Pennsylvania,12779,7.88,2461644,1499,2011
RI,Rhode Island,1026,11.02,198864,240,2011
SC,South Carolina,1610,10.44,680771,402,2011
SD,South Dakota,321,4.72,169013,49,2011
TN,Tennessee,3426,8.88,1052701,512,2011
TX,Texas,31062,7.68,5378931,11000,2011
UT,Utah,1404,6.71,496125,235,2011
VT,Vermont,300,5.46,110704,68,2011
VA,Virgina,10947,6.48,1716696,2025,2011
WA,Washington,11092,9.18,1480596,3125,2011
WV,West Virgina,437,7.98,283781,42,2011
WI,Wisconsin,3740,7.71,1049849,645,2011
WY,Wyoming,133,5.77,165998,19,2011
AL,Alabama,1561,7.98,743514,235,2012
AK,Alaska,254,7.12,243561,20,2012
AZ,Arizona,5418,8.28,1058770,1054,2012
AR,Arkansas,1882,7.52,436904,621,2012
CA,Califonia,74439,10.29,8524797,14235,2012
CO,Colorado,4209,7.84,1091195,700,2012
CT,Connecticut,7744,8.34,957847,635,2012
DE,Delaware,2332,7.19,242514,295,2012
,District of Columbia,3498,9.03,438740,219,2012
FL,Florida,16123,8.36,3056542,3215,2012
GA,Georgia,12650,9.07,1756233,2567,2012
HI,Hawaii,679,5.99,290129,90,2012
ID,Idaho,632,7.18,232419,117,2012
IL,Illinois,22117,8.97,2845480,2456,2012
IN,Indiana,4311,8.34,1199986,625,2012
IA,Iowa,2504,5,632986,450,2012
KS,Kansas,2031,5.7,563855,194,2012
KY,Kentucky,2014,8.17,708184,199,2012
LA,Louisiana,1633,7.02,965511,305,2012
ME,Maine,578,7.46,210319,82,2012
MD,Maryland,8290,6.88,1329999,1159,2012
MA,Massachusetts,16354,6.66,1736392,2254,2012
MI,Michigan,9832,9.07,1666806,2024,2012
MN,Minnesota,6852,5.56,1171681,890,2012
MS,Mississippi,644,8.99,405402,94,2012
MO,Missouri,4681,6.92,1064982,750,2012
MT,Montana,134,5.98,169396,24,2012
NE,Nebraska,1234,3.98,407891,545,2012
NV,Nevada,1131,11.15,501762,123,2012
NH,New Hampshire,1516,5.48,267790,150,2012
NJ,New Jersey,27628,9.3,2058649,6325,2012
NM,New Mexico,935,7.1,360585,164,2012
NY,New York,42106,8.48,5204162,6145,2012
NC,North Carolina,10343,9.18,1753400,1754,2012
ND,North Dakota,442,3.07,209973,86,2012
OH,Ohio,10387,7.37,2201195,1352,2012
OK,Oklahoma,1642,5.22,697219,170,2012
OR,Oregon,3043,8.78,787894,698,2012
PA,Pennsylvania,15431,7.74,2551584,1599,2012
RI,Rhode Island,1314,10.39,203991,245,2012
SC,South Carolina,1773,9.11,698267,458,2012
SD,South Dakota,284,4.26,172224,50,2012
TN,Tennessee,4486,7.83,1113194,520,2012
TX,Texas,37429,6.67,5751574,12425,2012
UT,Utah,1700,5.38,512071,245,2012
VT,Vermont,290,4.94,112780,69,2012
VA,Virgina,12330,5.98,1764577,2189,2012
WA,Washington,12896,8.07,1555688,3200,2012
WV,West Virgina,486,7.44,283874,49,2012
WI,Wisconsin,4352,7.03,1089680,650,2012
WY,Wyoming,157,5.3,160805,21,2012
AL,Alabama,1470,7.15,761276,245,2013
AK,Alaska,244,6.9,239231,21,2013
AZ,Arizona,6332,7.55,1081874,1154,2013
AR,Arkansas,2429,7.23,457826,601,2013
CA,Califonia,81723,8.84,8895566,15254,2013
CO,Colorado,4721,6.68,1147338,698,2013
CT,Connecticut,7369,7.68,963902,640,2013
DE,Delaware,3155,6.7,244434,298,2013
,District of Columbia,3607,8.48,447561,229,2013
FL,Florida,15013,7.09,3178576,3254,2013
GA,Georgia,13894,8.06,1816953,2658,2013
HI,Hawaii,590,4.86,298521,92,2013
ID,Idaho,623,6.08,243417,119,2013
IL,Illinois,24241,8.96,2887503,2564,2013
IN,Indiana,4239,7.52,1244601,600,2013
IA,Iowa,2596,4.68,649221,401,2013
KS,Kansas,2210,5.23,573886,198,2013
KY,Kentucky,1864,8.01,724541,201,2013
LA,Louisiana,1632,6.5,938433,309,2013
ME,Maine,654,6.6,213392,85,2013
MD,Maryland,8048,6.53,1357773,1254,2013
MA,Massachusetts,16693,6.62,1768358,2354,2013
MI,Michigan,11418,8.59,1718575,2154,2013
MN,Minnesota,7157,4.88,1216251,902,2013
MS,Mississippi,664,8.49,414092,95,2013
